subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12
sub-50051 -13.5578 37.7384 -13.439 -14.757 -4.6672 9.5369 -29.2506 1.5614 -21.4382 37.6947 -28.0305 -7.2528
sub-50052 78.018 -1.922 23.0036 10.8608 -5.2491 5.334 20.3653 13.5432 -5.067 21.9053 -16.6742 -6.0689
sub-50053 -7.8513 24.0094 -59.1499 9.0132 17.7458 -16.5762 -7.4852 16.1877 -26.507 15.0617 -22.0751 -9.6416
sub-50054 -38.7516 -10.852 -46.0721 3.5829 19.5201 16.8453 -30.9345 17.0921 3.4737 11.0806 -4.6508 15.4411
sub-50055 -12.3971 -19.1519 -56.4886 10.7304 -13.7939 28.7096 -32.167 -11.9075 45.1039 -12.2339 -23.8801 23.1243
sub-50056 -40.3888 2.4679 -65.2202 15.3422 -4.3097 14.7757 7.3141 -4.961 -2.7247 -26.8697 9.0817 5.3127
sub-50058 96.5629 72.1998 23.9821 67.1161 -47.4875 -15.2294 6.4934 53.5542 32.7323 -2.9088 -22.6203 39.7049
sub-50059 45.7848 24.2658 -12.5843 4.8359 -41.7091 15.3465 -14.1292 38.4613 -1.9667 -13.1877 6.9048 -3.1952
sub-50060 23.0034 68.3832 21.5512 -26.84 -28.7861 9.9356 -17.7846 8.9401 8.5943 11.2964 -20.9419 2.3885
sub-50064 -9.3785 -13.5156 18.1263 -14.4282 18.8895 15.601 -8.5904 -3.9146 7.7786 -26.4007 37.7534 1.3918
sub-50066 -8.8949 56.0226 -24.165 -45.3691 -10.8466 8.7074 -11.9884 -41.2624 26.0994 -13.7839 -32.1089 4.7883
sub-50067 24.2077 -62.3689 35.42 9.1933 -19.6889 6.2544 26.292 9.4073 28.7525 -16.2231 16.1436 15.8847
sub-50069 1.432 51.1916 17.781 -19.0009 -21.2047 -14.7613 24.0897 -9.8414 -19.1159 13.602 13.5338 -29.8466
sub-50073 524.6774 -246.2021 -292.4789 -219.9751 54.9037 -72.2918 85.1529 10.8117 -105.5885 42.5718 0.4477 38.3476
sub-50075 -3.1683 11.7484 -17.211 1.7187 21.2648 19.8339 20.4406 19.2584 29.7847 -55.362 37.0328 52.0524
sub-50076 -1.4051 62.5585 -6.4549 0.0498 3.3239 -11.7036 3.5537 11.5476 -19.253 11.3156 9.6352 9.1948
sub-50077 -13.2928 -3.2959 -13.4396 4.2868 -8.0457 0.4902 -1.6575 4.2493 -8.2626 -44.6418 15.0208 30.4257
sub-50080 -6.8046 8.2826 -31.5626 9.081 -13.9584 23.8649 14.0376 3.0908 41.1906 -21.61 24.1685 29.8107
sub-50081 -0.22 42.696 -21.8561 -7.8996 -11.4531 -13.6255 -16.0066 -17.3892 -12.9361 6.3987 0.9664 -4.7976
sub-50083 121.724 72.5318 46.7157 64.0525 -12.0054 104.5507 -56.4303 -249.6252 0.4789 215.7242 172.7365 141.3656
sub-50085 -34.3229 -9.771 -25.8632 33.7218 -20.8711 2.0579 17.6121 16.443 -30.0583 -1.2918 15.0224 -3.5643
sub-60001 -13.8709 -14.6989 51.8739 -10.1027 37.8355 -0.8056 -3.7627 13.3613 -30.9119 38.6609 -58.0168 -19.9729
sub-60005 8.7712 70.9558 0.5931 -27.4856 -12.9871 -5.7936 -21.1227 -8.1469 -16.4382 7.1601 -15.5839 0.1143
sub-60006 -18.9703 -70.8632 59.9626 -28.2756 31.0786 -1.0246 -65.1888 36.5688 -32.0533 19.2447 0.0926 -10.0661
sub-60008 -22.3249 0.0701 -16.0789 -0.9752 -12.9026 7.325 -39.2975 18.9926 -22.6704 3.6093 -1.8637 5.3376
sub-60010 -34.9796 15.6212 -26.2428 14.4292 -0.9931 9.1096 8.6097 6.5271 -4.9772 -12.9145 -2.5751 11.2953
sub-60011 5.3957 6.5678 -27.2926 0.3793 -19.9574 21.636 8.9852 4.1883 8.0115 3.3769 -0.7694 -12.6327
sub-60012 -10.4136 20.2979 -41.834 26.8381 4.4887 6.0967 1.6367 18.9662 -2.5792 3.1985 2.6161 -9.9092
sub-60014 -23.692 33.625 -20.2301 -1.0312 8.3766 3.8627 9.8687 4.8425 -15.1847 -2.3852 3.7546 -13.8685
sub-60015 -52.198 -53.0639 9.3181 5.5758 -26.9669 1.3539 -39.4015 66.9523 -64.3522 29.6723 10.7455 38.0883
sub-60016 49.3278 -0.8823 47.6516 -1.6907 -0.5332 -1.7587 -14.7794 76.5795 -6.1967 7.1612 12.2424 43.9716
sub-60020 -45.0899 -14.8624 -12.6815 -10.6181 25.424 5.4901 -11.171 -28.8558 33.3889 -6.6697 -23.8199 -11.4166
sub-60021 -23.1173 27.5345 -21.5455 -3.5583 21.0371 -17.5568 22.4142 5.6141 10.5197 -48.6652 35.2436 35.9681
sub-60022 -4.061 48.7081 -22.2395 -6.9473 -30.1235 10.9185 9.1869 -2.8595 5.3318 5.0387 -1.9934 -24.8772
sub-60028 -18.4836 -22.8088 -46.9108 26.2709 0.5326 35.5904 11.6851 -14.7465 46.7472 -5.5618 -40.0801 19.2684
sub-60030 -25.4097 26.388 -38.1331 -10.1309 30.5628 -13.1195 10.1391 -27.3842 18.4014 -1.7423 -14.9523 7.7776
sub-60033 -9.7736 11.3349 -5.0822 13.8195 1.0347 -21.4336 -44.3023 36.2531 -48.4411 18.8994 -22.8694 18.9072
sub-60036 7.0511 59.6291 2.4344 -35.9634 -32.0303 -3.3305 -18.885 -9.86 -8.7818 5.1959 -18.9478 -12.6617
sub-60037 0.2198 -41.0389 74.1484 -40.0821 20.3466 -15.7539 -21.2868 -11.4693 -4.0301 -21.6393 -7.7491 29.8251
sub-60038 2.154 20.0134 -6.9529 32.7063 44.5852 8.6875 19.7882 0.8891 16.9673 12.384 -4.8951 -33.5681
sub-60042 -2.1033 39.8383 -45.9641 17.4986 1.4085 -10.1139 20.3824 -5.1603 10.4208 -5.8135 -15.0056 14.1656
sub-60043 -29.5476 -47.1365 -43.5098 26.7714 -3.6486 34.9208 33.3643 -23.7688 20.4868 -33.1504 2.3382 -9.5179
sub-60046 -8.339 24.5938 5.8635 -26.088 -26.6459 -28.4747 -1.8035 -1.0181 -36.6571 16.8672 0.7218 13.1782
sub-60048 27.5388 32.2884 -0.0616 31.0752 7.5718 2.867 34.5078 22.0641 29.6046 2.6221 6.2213 -7.4082
sub-60049 -45.1394 -21.5635 -0.4513 -24.8763 38.3266 -35.9694 -21.1098 0.7136 -7.8945 6.87 -4.6892 -12.1666
sub-60051 43.7921 -23.2205 61.1366 -20.7912 1.5874 -11.6262 44.4199 -14.9137 40.6934 -15.9342 11.7069 -4.2656
sub-60052 8.1656 34.8001 -18.63 -56.2314 24.0237 -12.3215 -14.8476 -29.2557 35.283 -29.7112 6.6696 10.2282
sub-60053 29.9512 -18.5916 114.5061 33.3404 101.391 13.4261 -11.7427 23.9645 -79.6346 72.4176 49.6972 47.666
sub-60055 14.6859 76.5311 11.0959 -33.059 -47.729 -13.808 -5.5422 -12.4659 -16.5999 1.1353 -15.2745 -2.0993
sub-60056 -21.9703 -24.697 49.0398 -49.9911 42.7643 -39.2705 -22.344 1.0104 -7.2199 9.3461 -10.6455 -2.0596
sub-60057 -22.945 15.6452 -2.908 -13.2227 16.5103 -4.8394 -14.6259 7.5511 -3.5952 -4.1668 -11.8159 7.786
sub-60060 3.3352 42.0446 20.7964 -13.0011 -0.7651 -7.5321 22.7967 -12.2247 -6.9925 -16.4369 -5.2715 13.8386
sub-60062 -24.0439 6.1406 -5.4666 -7.5559 4.203 -0.9909 -17.4849 -1.715 -10.7531 13.8878 -21.8066 -17.0199
sub-60065 -30.5861 0.2271 27.1645 -1.2637 19.1332 2.7532 22.6981 3.6837 -1.0153 -24.1275 4.0281 6.388
sub-60066 -22.5069 -5.5858 -5.758 -20.3412 -1.2152 -1.9627 -12.3689 -24.6728 -2.2096 7.8322 -7.385 -8.4265
