subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17
sub-3040 154.9439 42.8066 0.174 72.3343 -81.2275 37.9111 29.4771 -22.9196 -15.459 12.744 38.1094 -24.6909 10.2134 30.7473 8.9408 -0.1962 35.9688
sub-4002 -38.5561 -13.631 42.5226 20.0454 1.8403 10.8741 -42.6038 28.1921 -68.7738 63.597 -14.0228 8.1984 15.9422 25.9787 31.533 5.8477 -30.5248
sub-4003 -95.8269 41.0398 5.4108 -51.0612 -40.819 10.9943 4.8637 38.4397 -80.9112 8.9635 37.7044 13.7726 7.9348 -9.6944 28.6092 1.5483 -5.4437
sub-4004 32.1909 105.7968 39.197 -108.1763 -3.1459 14.6999 7.0091 -107.7837 121.4702 94.2977 -18.8034 12.0894 105.6288 -7.8038 98.1411 -45.4105 -84.5333
sub-4005 -0.0631 16.5982 -2.0907 -6.9013 -40.8453 78.3931 24.1887 -6.9806 -49.0961 81.8225 53.0159 -54.6009 -23.4197 45.5413 36.8607 -17.3749 -69.7601
sub-4006 -125.4702 162.3447 2.9241 18.6059 -74.4526 -3.2583 -23.3735 -12.3485 -11.1459 -44.5573 36.0807 -47.2665 38.1923 -37.0039 39.6944 -3.4449 -1.262
sub-4010 -57.9005 147.8059 29.2922 55.995 11.3136 -75.0104 -47.1259 64.034 31.6664 3.1397 11.8627 7.8107 -45.096 25.3265 -33.2378 51.0787 -8.8603
sub-4014 32.0351 -23.703 -41.3335 -5.298 36.6246 -23.3758 -9.3647 13.1002 6.8882 -34.0301 18.6895 -36.0249 -29.5205 -5.6345 24.6092 18.0781 5.644
sub-4015 61.2598 22.4937 -23.6622 -28.4211 -15.0019 25.6588 1.2312 19.2764 47.9912 3.1731 0.0771 18.0397 -17.4365 31.782 31.8229 12.6787 -61.339
sub-4022 49.4838 -4.2833 27.4931 51.3444 -54.205 37.1955 -26.3907 -15.0791 20.1686 -13.8468 23.5496 -19.1593 14.9077 -2.2175 -4.544 11.7271 -1.5674
sub-4023 -20.1308 -35.2184 -6.3894 11.4193 -9.4234 13.7497 -21.7447 -32.7044 36.5798 6.2969 -35.6896 0.0174 -26.0446 -11.5173 -26.1033 -5.6775 -39.6513
sub-4024 55.4986 8.7983 19.2305 -33.1472 8.6315 -35.7848 81.2544 35.8953 -43.4678 -84.2651 -132.5268 -111.6982 18.1633 -77.7426 -1.3689 19.7255 16.3747
sub-4027 -56.6241 -28.5599 -91.2228 44.7088 -3.6582 48.2821 0.5641 31.1168 21.3359 4.8445 -20.7473 -6.3649 73.842 5.3607 -43.8783 58.2622 -45.7382
sub-4028 -30.8144 -34.7346 -18.2677 -79.024 -0.6989 89.2927 23.3983 8.0285 -62.7468 -8.7728 6.1899 15.5416 -55.8028 -53.0587 -26.9463 -20.8496 33.5922
